,mooney,solution,labelsEn,labelsNl
203,img/tt/204tt.jpg,img/gs/204gs.jpg,"bug, insect",
204,img/tt/205tt.jpg,img/gs/205gs.jpg,"reindeer, deer, moose, elk, wapiti, muntjac, chital, antler",
205,img/tt/206tt.jpg,img/gs/206gs.jpg,ant,
206,img/tt/207tt.jpg,img/gs/207gs.jpg,"house, shed, stable, building, barn, hut",
207,img/tt/208tt.jpg,img/gs/208gs.jpg,giraffe,
208,img/tt/209tt.jpg,img/gs/209gs.jpg,wheelchair,
209,img/tt/210tt.jpg,img/gs/210gs.jpg,butterfly,
210,img/tt/211tt.jpg,img/gs/211gs.jpg,"tuba, trumpet, brass, trombone, sousaphone, contrabass bugles, bugles, horn, french horn, euphonium, tenor horn, baritone horn",
211,img/tt/212tt.jpg,img/gs/212gs.jpg,"gun, rifle, AK47, Kalasjnikov, assault rifle, weapon",
212,img/tt/213tt.jpg,img/gs/213gs.jpg,"lobster, crayfish",
213,img/tt/214tt.jpg,img/gs/214gs.jpg,binoculars,
214,img/tt/215tt.jpg,img/gs/215gs.jpg,"bonsai, tree",
215,img/tt/216tt.jpg,img/gs/216gs.jpg,"tractor, caterpillar, truck, bulldozer",
216,img/tt/217tt.jpg,img/gs/217gs.jpg,"piano, grand piano, keyboard",
217,img/tt/218tt.jpg,img/gs/218gs.jpg,"harp, woman",
218,img/tt/219tt.jpg,img/gs/219gs.jpg,metronome,
219,img/tt/220tt.jpg,img/gs/220gs.jpg,"grashopper, cricket, locust, mantis, praying mantis",
220,img/tt/221tt.jpg,img/gs/221gs.jpg,"duck, goose, fowl, swan",
221,img/tt/222tt.jpg,img/gs/222gs.jpg,"bath, tub, bathtub, couple, man, woman",
222,img/tt/223tt.jpg,img/gs/223gs.jpg,"ibis, bird",
223,img/tt/224tt.jpg,img/gs/224gs.jpg,"guitar, electric",
224,img/tt/225tt.jpg,img/gs/225gs.jpg,"hawk, bird, eagle, buzzard",
225,img/tt/226tt.jpg,img/gs/226gs.jpg,"emu, ostrich, bird, turkey, ibis",
226,img/tt/227tt.jpg,img/gs/227gs.jpg,"buddha, statue",
227,img/tt/228tt.jpg,img/gs/228gs.jpg,"flamingo, flamingos",
228,img/tt/229tt.jpg,img/gs/229gs.jpg,"frog, toad, bullfrog",
229,img/tt/230tt.jpg,img/gs/230gs.jpg,butterfly,
230,img/tt/231tt.jpg,img/gs/231gs.jpg,"wrench, tool",
231,img/tt/232tt.jpg,img/gs/232gs.jpg,penguin,
232,img/tt/233tt.jpg,img/gs/233gs.jpg,"jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar",
233,img/tt/234tt.jpg,img/gs/234gs.jpg,"ibis, bird, flamingo",
234,img/tt/235tt.jpg,img/gs/235gs.jpg,hotdog,
235,img/tt/236tt.jpg,img/gs/236gs.jpg,owl,
236,img/tt/237tt.jpg,img/gs/237gs.jpg,"dog, greyhound, hound",
237,img/tt/238tt.jpg,img/gs/238gs.jpg,"canoe, kayak, boat, river",
238,img/tt/239tt.jpg,img/gs/239gs.jpg,"shoe, sports shoe, sneaker, running shoes, footwear, pumps",
239,img/tt/240tt.jpg,img/gs/240gs.jpg,binoculars,
240,img/tt/241tt.jpg,img/gs/241gs.jpg,"bug, insect",
241,img/tt/242tt.jpg,img/gs/242gs.jpg,"sax, saxophone",
242,img/tt/243tt.jpg,img/gs/243gs.jpg,"umbrella, sunshade",
243,img/tt/244tt.jpg,img/gs/244gs.jpg,"tipi, teepee, wigwam, tent, indian tent",
244,img/tt/245tt.jpg,img/gs/245gs.jpg,"house, villa, mansion",
245,img/tt/246tt.jpg,img/gs/246gs.jpg,"boat, ship, sailboat, sails, schooner, skiff, bateau, yacht",
246,img/tt/247tt.jpg,img/gs/247gs.jpg,"car, automobile",
247,img/tt/248tt.jpg,img/gs/248gs.jpg,"chopper, helicopter",
248,img/tt/249tt.jpg,img/gs/249gs.jpg,bat,
249,img/tt/250tt.jpg,img/gs/250gs.jpg,watch,
250,img/tt/251tt.jpg,img/gs/251gs.jpg,"ewer, can, jug, pitcher, vessel, urn",
251,img/tt/252tt.jpg,img/gs/252gs.jpg,"squid, tentacles, octopus",
252,img/tt/253tt.jpg,img/gs/253gs.jpg,"bug, insect",
